"filename", "language", "YAML", "JavaScript", "JSON", "Draw.io", "TypeScript", "JSON with Comments", "Markdown", "TypeScript JSX", "Python", "Java Properties", "PostCSS", "pip requirements", "Dart", "CMake", "C++", "HTML", "Kotlin", "XML", "Swift", "comment", "blank", "total"
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/src/router.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/src/routes/LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/src/routes/SignUpPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/src/routes/__root.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/src/routes/about.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/src/routes/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 103
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/src/styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 31
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/aposis/vite.config.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/django/_Project/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/media/linux/fba0f54e-b8a2-fb4f-802f-cd9ac7033213/Automated-nutrition-and-fitness-assistant-/django/_Project/asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
